,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Return 3m Rank,Return 6m Rank,Return 1y Rank,EA ret std Rank,P/E Rank,P/B Rank,P/S Rank,P/FCF Rank,EV/EBIT Rank,Asset Growth Rank,Yield Rank,ROE Rank,ROC Rank,FCFROE Rank,GPA Rank,Assets Turn Rank,Momentum Rank,Quality Rank,Value Rank,Gestalt Rank
419,419,224,TietoEVRY,IT Consulting,2.389,6.52,0.787,24083.461,36948.16,0.1553999999999999,31382.891,20.465,0.16012,4813.19,18757.33,-0.00823,-0.12714,0.0697499999999999,Sweden,Large Cap,TIETOS,9.505,2022-02-17,TIETOS.ST,0.01455,0.05442,10.437,1.079,1.673,-0.00488,2022-02-25,Q4-2021,Technology,0.2566031519411344,0.6518176006599516,0.0301439295954533,1.4561428490409922,0.2099922154940574,0.1964155898027892,0.1897297908725927,74.0,139.0,137.0,63.0,30.0,65.0,82.0,16.0,39.0,49.0,23.0,104.0,115.0,39.0,29.0,150.0,66.0,53.0,8.0,13.0
335,335,179,Prevas,IT Consulting,5.863,64.585,1.441,874.448,823.703,0.29873,1352.669,48.759,0.21525,20.944,469.171,0.15939,0.12262,0.80428,Sweden,Small Cap,PREV B,10.022,2022-02-11,PREV-B.ST,0.7467100000000001,0.0329599999999999,13.143,1.14,2.883,0.81235,2022-02-25,Q4-2021,Technology,0.0446404402659158,1.061605942918746,0.1748416746859293,3.605548283451277,0.3994460545454724,0.3520864314099343,0.4444401493989551,20.0,39.0,25.0,6.0,52.0,166.0,88.0,122.0,44.0,318.0,56.0,68.0,38.0,133.0,9.0,28.0,5.0,27.0,101.0,14.0
83,83,1379,Byggpartner,Construction & Infrastructure,1.26,16.761,2.905,145.927,785.007,1.54901,1036.359,34.449,0.35459,61.832,196.465,-0.07957,-0.01947,0.2239699999999999,Sweden,First North,BYGGP,10.089,2022-02-24,BYGGP.ST,0.1726,0.04381,14.876,0.454,5.275,0.06299,2022-02-25,Q4-2021,Industrials,0.3147227241493395,0.1858926098748164,0.0521409638751969,1.4238739761466672,0.35291167634325,0.3296410963427161,0.3356194688137707,111.0,77.0,89.0,65.0,74.0,268.0,24.0,74.0,45.0,100.0,36.0,19.0,8.0,26.0,244.0,4.0,45.0,31.0,58.0,15.0
350,350,191,Rottneros,Forest & Wood Products,1.037,9.464,0.967,1178.0,2382.0,0.15541,1561.551,39.289,0.12967,165.0,1527.0,-0.06089,-0.10702,0.22919,Sweden,Mid Cap,RROS,5.789,2022-02-04,RROS.ST,0.16078,0.05894,7.845,0.678,1.023,0.05538,2022-02-25,Q4-2021,Materials,0.1080550098231827,0.4945424013434089,0.0515670805818759,1.275560877208609,0.3333320735186252,0.291717068722129,0.3705194387138409,100.0,124.0,87.0,72.0,14.0,21.0,45.0,30.0,17.0,94.0,18.0,134.0,114.0,105.0,70.0,99.0,57.5,75.0,3.0,16.0
53,53,31,Bergs Timber,Forest & Wood Products,2.573,3157.322,1.319,1271.0,2316.0,0.27116,1688.565,39.547,0.25804,-157.0,1616.0,-0.05253,-0.0562,0.42033,Sweden,Small Cap,BRG B,4.487,2022-02-03,BRG-B.ST,0.33791,0.0616,4.05,0.553,1.045,0.3696,2022-02-25,Q4-2021,Materials,-0.0971534653465346,0.5487910189982729,0.0594342227509161,1.3114026627490485,0.5095722157329199,0.4717729092522831,0.4153748232537472,96.0,94.0,52.0,70.0,4.0,22.0,35.0,264.0,9.0,262.0,12.0,42.5,49.0,205.0,56.0,36.0,37.5,45.0,60.0,17.0
218,218,1443,International Petroleum,Oil & Gas -Exploration,35.806,5.121,0.523,1775.109,10749.81,0.17067,10241.17,39.146,0.1723,1999.833,7153.263,0.3505899999999999,0.7947299999999999,1.3291499999999998,Sweden,Mid Cap,IPCO,6.606,2022-02-08,IPCO.ST,1.3291499999999998,0.0,8.42,1.821,1.432,-0.04459,2022-02-25,Q4-2021,Energy,0.2795693377973101,0.1651293371696802,-0.0205951624090228,-0.4281711336592156,0.3938881475871593,0.3758373233452304,0.4408465833867863,9.0,4.0,14.0,231.0,19.0,42.0,135.0,9.0,20.0,36.0,270.5,92.0,99.0,34.0,254.0,238.0,25.0,130.5,5.0,19.0
260,260,595,Lundin Gold,Mining - Gold & Silver,6.675,5.894,0.444,4522.074,14677.47,0.20738,16968.98,40.581,0.24794,2879.246,7062.633,-0.0221899999999999,-0.0300199999999999,0.10319,Sweden,Mid Cap,LUG,10.7,2021-11-10,LUG.ST,0.10319,0.0,9.606,2.602,2.403,0.05072,2022-02-25,Q3-2021,Materials,0.4076731723140647,0.3080962863490779,0.0585021533077783,1.6520807355748666,0.3628460715881084,0.3515216278312715,0.3245489643186464,85.0,81.0,127.0,54.0,26.0,136.0,173.0,12.0,56.0,88.0,270.5,48.0,77.0,17.0,131.0,247.5,47.5,74.0,40.0,20.0
169,169,1425,FM Mattsson,Installation,1.362,21.034,1.054,703.5,1731.4,0.31521,3201.381,50.57,0.2940899999999999,152.2,806.9,-0.1098,0.08612,0.3323899999999999,Sweden,Mid Cap,FMM B,10.384,2022-02-23,FMM-B.ST,0.28977,0.03304,13.46,1.754,3.968,0.26407,2022-02-25,Q4-2021,Industrials,0.1886231255421985,0.4063185861152824,0.1049927469525269,2.0907620407385044,0.4689458856616104,0.4209868296025349,0.4602505698461506,140.0,50.0,65.0,33.0,55.0,226.0,133.0,84.0,51.0,223.0,55.0,33.0,35.0,66.0,93.0,78.0,33.0,32.0,97.0,21.0
149,149,77,Ericsson B,Communications,920.637,16.553,0.76,100749.0,305614.0,0.25503,317511.312,35.87,0.2119,19182.0,107099.0,-0.00345,-0.07328,-0.0589299999999999,Sweden,Large Cap,ERIC B,7.921,2022-01-25,ERIC-B.ST,-0.083,0.02625,13.969,1.367,2.965,0.12553,2022-02-25,Q4-2021,Technology,0.1791053137751052,0.3296609448520028,0.0943053860835091,3.4753153060610686,0.3003570332002971,0.2346250985533989,0.2487035172987102,70.0,105.0,176.0,8.0,60.0,171.0,105.0,71.0,25.0,151.0,83.0,69.0,57.0,68.0,121.0,157.5,51.5,61.0,57.0,22.0
152,152,79,eWork,IT Consulting,1.129,35.252,3.541,483.569,3724.151,2.26946,1875.712,38.504,0.4926,53.208,198.917,-0.05882,-0.04561,0.14372,Sweden,Small Cap,EWRK,15.432,2022-02-10,EWRK.ST,0.09347,0.04596,19.142,0.142,9.43,0.10752,2022-02-25,Q4-2021,Technology,0.2674884499565145,0.1298467758154811,0.1183295212534869,3.273439463723106,0.3380615854520529,0.3029740464192828,0.3313053405149869,99.0,90.0,111.0,13.0,106.0,326.0,1.0,101.0,96.0,139.0,33.0,7.0,5.0,35.0,283.0,1.0,39.0,37.0,94.0,23.0
