,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
284,284,154,Net Insight,Communications,22.968,11.627,0.459,228.384,828.623,0.0816399999999999,1306.276,87.629,0.03682,112.348,646.528,-0.3875699999999999,0.05678,0.61058,Sweden,Small Cap,NETI B,36.812,2022-02-22,NETI-B.ST,,53.945,3.431,2.02,-0.03914,Q4-2021,Technology,0.1737712829142744,0.2756187071804668,-0.1967829481865293,-2.717861177914624,0.6623513089064772,0.540375671864212,0.6635900044263932
285,285,2281,Netel Holding,Telecom Services,1.191,-30.252,1.134,863.0,2133.0,0.09722,2026.91,31.025,0.07245,-67.0,911.0,-0.08245,-0.81553,-0.95301,Sweden,Mid Cap,NETEL,18.61,2022-02-16,NETEL.ST,,30.713,0.837,2.225,0.41165,Q4-2021,Telecom,-0.0735455543358946,0.4045944678856071,-0.012592462877932,-0.3709902274838017,0.3109243477319409,0.3123507950429345,0.3110912905465391
286,286,155,New Wave,Clothing & Footwear,25.759,8.059,0.877,3229.3,7660.6,0.18055,8810.483,53.014,0.16646,1093.2,4566.7,-0.20858,-0.02209,0.91631,Sweden,Mid Cap,NEWA B,9.821,2022-02-10,NEWA-B.ST,0.032,11.588,1.311,1.929,0.0615099999999999,Q4-2021,Consumer Durables,0.2393851139772702,0.4215466151476386,0.1720989246267512,3.751175189818292,0.4564273360207569,0.4204166246489128,0.4204849462980107
287,287,371,Nexam Chemical,Chemicals,1.044,313.253,0.772,84.909,284.333,-0.02386,545.374,43.568,-0.0238899999999999,1.741,228.08,-0.36415,-0.54305,-0.48154,Sweden,First North,NEXAM,-118.537,2022-01-26,NEXAM.ST,,-98.972,2.48,2.391,0.13608,Q4-2021,Materials,0.0076332865661171,0.2986252035465457,-0.0374643085245895,-0.9151650394504388,0.3892899656867489,0.3609510026606841,0.3751957784056255
288,288,156,NIBE Industrier,Installation,349.87,117.518,0.711,10204.0,43394.0,0.14947,147132.497,43.591,0.1533,1252.0,21657.0,-0.40907,-0.39586,0.09374,Sweden,Large Cap,NIBE B,34.178,2022-02-17,NIBE-B.ST,0.00685,44.319,4.772,6.794,0.13191,Q4-2021,Industrials,0.0578104077203675,0.2351477162741392,-0.0835746555087326,-1.718806662794677,0.3778119748431592,0.3487859204537052,0.4456431236145096
289,289,758,Nilörngruppen,Packaging,1.987,14.192,1.418,364.131,556.069,0.55932,952.067,49.159,0.31423,67.085,278.259,0.04375,0.20839,0.5725,Sweden,Small Cap,NIL B,7.624,2022-02-09,NIL-B.ST,0.05988,10.889,1.208,3.422,0.3592,Q4-2021,Materials,0.2410883385622746,0.6548306055543467,0.0797555436079768,1.790371128483937,0.4167045647614574,0.3410251483155849,0.4082793895200869
290,290,2075,Nimbus,Auto & Equipment,1.986,3017.801,1.186,292.972,1227.495,0.29308,1131.675,34.877,0.21982,0.375,605.085,-0.21977,-0.24645,-0.05806,Sweden,First North,BOAT,6.645,2022-02-22,BOAT.ST,0.02568,8.508,0.772,1.87,0.9419,Q4-2021,Consumer Durables,0.0006197476387614,0.2386746992859441,0.0293152928271924,0.7100522901468017,0.3569029574213536,0.3263569563799972,0.3783933951473661
291,291,2326,Nivika Fastigheter,Real Estate,2.491,-1.483,0.041,261.017,8975.616,0.02323,3955.56,31.646,0.19442,-2668.057,2994.678,-0.68206,-0.81553,-0.95301,Sweden,Mid Cap,NIVI B,46.117,2022-01-28,NIVI-B.ST,,6.794,10.799,1.321,0.64007,Q1-2022,Financials,-0.8909328482060508,0.0290806781395282,-0.0041774211742307,-0.1272956209203376,0.3079152409702861,0.2937009696311391,0.3007699495429386
292,292,157,Nobia,Home Furnishings,21.369,10.015,1.291,5278.0,10629.0,0.15184,6729.979,34.682,0.1434099999999999,672.0,4923.0,-0.24938,-0.43137,-0.35635,Sweden,Mid Cap,NOBI,8.666,2022-02-01,NOBI.ST,0.06326,9.452,0.491,1.367,0.05394,Q4-2021,Consumer Durables,0.1365021328458257,0.4965659986828488,-0.0969101744136764,-2.8437859906385548,0.3182658346671799,0.2760976019615659,0.312328854086749
293,293,249,Nokia,Communications,53.374,32.983,0.554,91255.219,413706.188,0.10152,282790.877,27.714,0.09294,8573.9,179328.797,-0.06011,-0.0542,0.49106,Sweden,Large Cap,NOKIA SEK,10.547,2022-02-03,NOKIA-SEK.ST,0.01665,16.805,1.233,1.577,0.1037299999999999,Q4-2021,Technology,0.0478110607076676,0.2205797777431359,-0.0227822660929609,-0.7103428875846316,0.2895818329942697,0.2632253863599268,0.293946657870016
294,294,158,Nolato,Chemicals,28.638,50.976,1.155,1817.0,10055.0,0.24258,22735.419,34.962,0.24329,446.0,4768.0,-0.21561,-0.16103,0.14054,Sweden,Large Cap,NOLA B,17.501,2022-02-07,NOLA-B.ST,0.02251,19.535,1.958,4.768,0.15788,Q4-2021,Materials,0.0935402684563758,0.1807061163600199,0.0535931992344588,1.5201838771336695,0.3077356972166084,0.2895046549296246,0.3231120865323607
295,295,159,Nordea Bank,Banks,673.288,2.278,0.017,71354.398,5931671.0,0.0094399999999999,407706.206,22.139,0.1135699999999999,179004.797,348431.188,-0.05897,0.00993,0.35706,Sweden,Large Cap,NDA SE,7.942,2022-02-03,NDA-SE.ST,0.06919,10.484,4.075,1.17,0.03295,Q4-2021,Financials,0.5137450468412144,0.0120293923921269,-0.0063891659941337,-0.2631318849894116,0.2181683348667887,0.1953610788068013,0.2225411549568298
296,296,1794,Nordic Entertainment B,Broadcasting & Publishing,63.222,33.774,0.648,3199.0,19527.0,0.09659,24317.02,41.962,0.03905,720.0,8323.0,-0.31111,-0.39747,-0.19229,Sweden,Large Cap,NENT B,38.845,2022-02-08,NENT-B.ST,,73.191,1.921,2.922,0.22434,Q4-2021,Consumer Durables,0.0865072690135768,0.1638244481999283,0.00809775900209,0.1635933780224462,0.3727317723588926,0.337407241650387,0.4536686513251938
297,297,2008,Nordic Paper,Forest & Wood Products,1.779,-5.179,0.948,1697.0,3252.0,0.10822,2154.47,37.961,0.24658,-416.0,584.0,-0.18066,-0.18994,-0.27182,Sweden,Mid Cap,NPAPER,16.69,2022-01-28,NPAPER.ST,0.06211,14.961,0.689,3.689,0.38442,Q4-2021,Materials,-0.7123287671232876,0.5218327183271833,-0.0551841735468187,-1.273761243329817,0.3351358329667065,0.3247791235218952,0.3970691583939115
298,298,1322,Nordic Waterproofing,Construction Supplies,6.865,-66.335,1.16,1041.1,3157.8,0.16969,3834.173,50.213,0.17712,-57.8,1451.0,-0.27636,-0.19023,0.0542999999999999,Sweden,Mid Cap,NWG,11.819,2022-02-08,NWG.ST,0.03769,14.867,1.047,2.642,0.10274,Q4-2021,Industrials,-0.0398345968297725,0.329691557413389,-0.0332691861620656,-0.826524125109773,0.4198775090649372,0.3684123157516826,0.3689149760195923
