,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,OCF,Total Equity,EV,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,EV/S,P/B,Cash.f.Fin.,Info - Stock price,Info - Report,Sector,CF_prof,GPA,Financing_Yield,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
94,109,Industrivärden C,Holding Companies,117.431,34.468,,,120888.0,-0.1508,102748.797,30.553,-0.15691,6846.0,113433.0,108826.797,-0.0843,-0.19231,Sweden,Large Cap,INDU C,-6.115,2022-07-07,INDU-C.ST,0.028370000000000003,-5.773,,0.906,-2967.0,2022-08-26,Q2-2022,Financials,0.05663093110978757,,-0.02454337899543379,0.011223144133059915,0.3366499619393936,0.2649406663807324,0.2631640967692482,0.3055453042611994,1.0246881047256928,5.4311035165904995,13.202863729117569,-0.15851190539158544
95,81,Fagerhult,Construction Tools,2.878,26.941,0.564,2742.4,13262.1,0.07461000000000001,8122.603,45.292,0.07541,495.5,6440.6,11252.3,-0.16179,-0.41062,Sweden,Mid Cap,FAG,15.958,2022-08-23,FAG.ST,0.02835,16.628,1.504,1.261,-616.9,2022-08-26,Q2-2022,Industrials,0.03736210705695176,0.20678474751359135,-0.046516011793004124,-0.07425408214797102,-1.447556579171173,0.38410069987191203,0.3592541134378323,0.4701369977502054,0.8349814321479665,-9.865980093047618,2.172157995596601,-0.24619913665346915
96,1470,Essity B,Personal Products,339.415,40.412,0.694,34301.0,198381.0,0.07744,173408.203,30.399,0.08541,15205.0,66831.0,233067.203,-0.02257,-0.0824,Sweden,Large Cap,ESSITY B,22.971,2022-07-21,ESSITY-B.ST,0.02835,26.64,1.694,2.595,-7880.0,2022-08-26,Q2-2022,Food and Beverage,0.07664544487627344,0.17290466324900067,-0.039721545914175246,-0.08916356361181865,-2.41249358711833,0.2669794897549919,0.22293282782971394,0.33873563989136346,0.4526744336458191,5.531204603906807,1.8916014008382602,-0.1300066251564751
97,195,Sandvik,Industrial Machinery,389.535,-8.361,0.581,42518.0,182190.0,0.16582999999999998,213747.406,35.242,0.1895,7056.0,72792.0,253738.406,-0.21475000000000002,-0.21068,Sweden,Large Cap,SAND,14.044,2022-07-15,SAND.ST,0.02788,15.496,2.395,2.936,17008.0,2022-08-26,Q2-2022,Industrials,0.03872879960480817,0.2333717547615127,0.09335309292496843,-0.0391318465538103,-1.009179122015529,0.33536706581301656,0.3229028045386711,0.3553871557669286,1.2260490067243268,5.852942178508876,-1.3941538240218483,-0.32824801349743793
98,1004,LeoVegas,Gambling & Casinos,12.62,44.002,1.414,2713.175,2870.991,0.28492,6180.502,68.039,0.0053300000000000005,410.095,696.084,6239.728,0.84131,0.66259,Sweden,Mid Cap,LEO,27.757,2022-08-11,LEO.ST,0.02763,1608.466,1.537,8.879,99.199,2022-08-26,Q2-2022,Consumer Durables,0.142840921479726,0.9450308273345337,0.03455218076267045,-0.033880435421247745,-7.264302019537649,0.4444618062823122,0.26173246387163973,0.04274592644368404,0.6411391614877838,18.34792976652559,20.823215029703572,0.8134513495450315
99,202,Semcon,Business Consultants,2.185,22.279,1.373,1551.7,1342.2,0.25425000000000003,2673.479,63.462,0.17668,185.2,812.2,2505.379,0.30158999999999997,0.21086,Sweden,Small Cap,SEMC,13.405,2022-07-19,SEMC.ST,0.0271,18.103,1.36,3.292,-157.3,2022-08-26,Q2-2022,Industrials,0.13798241692743257,1.1560870213082999,-0.11719564893458502,-0.09378616559513464,-1.6980229473298356,0.5084529825760995,0.40470696092791636,0.5062148349116319,0.7300231418076276,1.148706050594834,5.321352844204633,0.1949160891090791
100,185,Ratos B,Holding Companies,18.196,-9.228,0.862,10162.0,29902.0,0.07289,14414.1,39.01,0.05207,1294.0,13521.0,20996.109,-0.09342,-0.18661000000000003,Sweden,Large Cap,RATO B,13.841,2022-07-18,RATO-B.ST,0.02706,20.42,0.815,1.066,-1704.0,2022-08-26,Q2-2022,Financials,0.04327469734465922,0.3398434887298509,-0.056986154772256034,-0.07282573777141232,-1.548725446497005,0.3901222568952656,0.3615929534283813,0.43097303867945064,1.2383515546638524,-4.695418525845755,0.19846725772626106,-0.22388346455431374
101,1419,Ambea,Healthcare Facilities,8.031,3.416,0.692,10440.0,17528.0,0.05088,4068.574,32.168,0.06619,1380.0,4623.0,14647.57,-0.10454000000000001,-0.27265,Sweden,Mid Cap,AMBEA,20.259,2022-08-18,AMBEA.ST,0.02674,13.271,1.208,0.88,-1176.0,2022-08-26,Q2-2022,Health Care,0.07873117298037426,0.5956184390689183,-0.0670926517571885,-0.04401239468827345,-1.281198312490012,0.3739667395842595,0.3561561147111641,0.3148460752860347,0.9197407208946141,5.245890440316955,6.004794556969093,-0.2709265639836742
102,426,Gränges,Industrial Components,14.189,-13.851,1.161,6507.0,19324.0,0.09135,8961.849,49.687,0.08547,250.0,8026.0,13878.85,-0.20919000000000001,-0.23475000000000001,Sweden,Mid Cap,GRNG,13.991,2022-07-15,GRNG.ST,0.026690000000000002,13.064,0.619,1.117,715.0,2022-08-26,Q2-2022,Industrials,0.012937280066238874,0.33673152556406544,0.03700062098944318,0.113303841986788,1.883260814745886,0.4566117324980342,0.42498640700978835,0.5514089481056103,1.231342627517884,4.2185446383525305,8.601012149793098,-0.18882249660754302
103,1313,B3 Consulting,IT Consulting,7.643,10.173,1.717,338.7,606.2,0.6028,1128.139,61.706,0.36840000000000006,113.3,197.6,1135.139,0.33366999999999997,1.0149299999999999,Sweden,Small Cap,B3,9.752,2022-07-21,B3.ST,0.026619999999999998,13.701,1.091,5.709,-57.4,2022-08-26,Q2-2022,Technology,0.18690201253711644,0.5587264929066315,-0.09468822170900693,-0.04326956925648284,-0.6084662420710697,0.5310280318709437,0.4842966690403995,0.6517570333271064,0.6220660511406907,17.906463522171734,10.608716710789333,0.4411726464656296
