,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y.1,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
355,188,Rejlers,Business Consultants,2.668,-41.403,1.158,996.6,2326.5,0.08516,2653.942,37.557,0.0703,-64.1,1244.7,-0.0547,-0.12807000000000002,-0.17301,Sweden,Mid Cap,REJL B,24.165,2021-10-26,REJL-B.ST,-0.17301,,30.33,0.985,2.132,0.1105,2022-01-28,Q3-2021,Industrials,-0.05149835301679119,0.42836879432624114,-0.07484926798108182,-1.9577152514342766,0.36405407996475303,0.35619626704835883,0.3504109558160196
356,1082,Resurs Holding,Consumer Lending,24.142,344.796,0.081,2170.133,42070.121,0.03036,7560.0,29.753,0.11743,21.926,8268.681,-0.18902000000000002,-0.08141,-0.17933,Sweden,Mid Cap,RESURS,5.95,2021-10-26,RESURS.ST,-0.17933,0.0709,7.786,2.228,0.914,-0.00577,2022-01-28,Q3-2021,Financials,0.0026516925734588136,0.05158371186999913,-0.018161854643212405,-0.703791793400375,0.29408720646142156,0.23583467318795936,0.2365133394386116
357,2193,Revolutionrace,Clothing & Footwear,14.187,70.046,0.738,758.1,1382.5,0.33753,10478.88,44.937,0.25034,149.6,815.3,0.20754999999999998,0.23404,-0.9407599999999999,Sweden,Mid Cap,RVRC,38.535,2021-11-09,RVRC.ST,,0.0069,51.342,10.265,12.853,,2022-01-28,Q1-2022,Consumer Durables,0.18349073960505335,0.5483544303797468,0.19643530339098247,3.678395438302633,0.4354980390589718,0.39097438411356866,0.4894414763444649
358,191,Rottneros,Forest & Wood Products,1.089,18.205,0.996,1028.0,2204.0,0.06988,1656.655,35.147,0.0506,91.0,1423.0,0.07356,0.04449,0.25728,Sweden,Mid Cap,RROS,14.908,2021-10-22,RROS.ST,0.25728,,22.886,0.755,1.164,-0.07511999999999999,2022-01-28,Q3-2021,Materials,0.06394940267041462,0.4664246823956443,0.005243951696821014,0.14270691171225688,0.3105625004604477,0.27521341599267046,0.3367854479231989
359,2101,RugVista,Home Furnishings,2.235,18.575,1.092,442.619,638.16,0.3613,2307.135,27.7,0.21317,124.207,464.927,-0.15909,-0.2161,-0.9407599999999999,Sweden,First North,RUG,17.292,2021-11-11,RUG.ST,,,22.714,3.312,4.962,,2022-01-28,Q3-2021,Consumer Durables,0.2671537682259795,0.6935862479628934,-0.02304172773079949,-0.7760247658346358,0.336572869958478,0.3057692459749282,0.2721316796001641
360,193,Saab,Military & Defense,73.104,13.176,0.637,7932.0,62321.0,0.07168999999999999,29818.199,22.061,0.07894,2263.0,22440.0,-0.08846,-0.15512,-0.07384,Sweden,Large Cap,SAAB B,12.76,2021-10-22,SAAB-B.ST,-0.07384,0.02141,16.217,0.751,1.329,0.07372,2022-01-28,Q3-2021,Industrials,0.10084670231729055,0.12727651995314582,-0.05447131901398117,-3.316594890821066,0.26461091703231215,0.22146630719770422,0.150527243032603
361,194,Sagax A,Real Estate,1.442,-37.407,0.053,2532.0,57257.0,0.04436,118167.5,42.327,0.27399,-3159.0,27173.0,-0.22059,-0.16139,0.57738,Sweden,Large Cap,SAGA A,57.988,2021-10-28,SAGA-A.ST,0.57738,0.00623,11.287,38.871,4.349,0.22402,2022-01-28,Q3-2021,Financials,-0.11625510617156737,0.04422166721972859,-0.003321068052525966,-0.062418760719774376,0.3809946891503296,0.3558744989387802,0.48764331631398117
362,438,Samhällsbyggnadsbolag B,Real Estate,399.623,-2.985,0.033,3775.0,165215.0,0.02665,90278.039,37.866,0.23140999999999998,-30239.0,67322.0,-0.054770000000000006,0.27509,0.96985,Sweden,Large Cap,SBB B,41.317,2021-11-04,SBB-B.ST,0.96985,0.01822,4.436,16.45,1.341,0.64819,2022-01-28,Q3-2021,Financials,-0.44916966222037374,0.02284901491995279,0.036496758097207316,1.1430976921990557,0.3089262239478992,0.29296276799242593,0.2926244322638712
363,195,Sandvik,Industrial Machinery,548.541,-23.164,0.637,40173.0,155517.0,0.18719999999999998,300550.906,26.758,0.187,-12975.0,77332.0,0.09908,0.06347,0.11806,Sweden,Large Cap,SAND,17.554,2022-01-20,SAND.ST,0.11806,0.01982,20.784,3.033,3.887,0.30546,2022-01-28,Q4-2021,Industrials,-0.1677830652252625,0.2583190262157835,-0.00102339019817288,-0.03608963456413675,0.26792845858626374,0.24980823783397216,0.25989529155628666
364,478,Saniona,Biotechnology,2.39,-1.928,0.017,-116.421,534.154,-5.858390000000001,506.574,65.998,-0.83832,-262.773,390.525,-0.26047,-0.53864,-0.57308,Sweden,Small Cap,SANION,-0.511,2021-11-18,SANION.ST,-0.57308,,-1.547,54.949,1.297,-0.32049999999999995,2022-01-28,Q3-2021,Health Care,-0.6728711350105628,-0.21795399828513876,-0.04226417553792994,-0.7847315650202282,0.6208665611019122,0.5444537445577339,0.4936179254684942
365,196,SAS,Airlines,60.379,-1.74,0.265,8454.0,52712.0,-0.17073,10949.92,60.614,-1.01668,-6293.0,6416.0,0.01175,-0.30231,-0.06687,Sweden,Large Cap,SAS,-6.866,2021-11-30,SAS.ST,-0.06687,,-1.679,0.784,1.707,-0.08220000000000001,2022-01-28,Q4-2021,Industrials,-0.9808291770573566,0.16038093792684777,-0.08772393421499813,-1.7238551472258132,0.48043923274638256,0.4329469864052934,0.46639831594492553
366,2181,SaveLend,Consumer Lending,0.542,-5.256,0.363,74.329,223.063,-0.33030000000000004,403.216,55.308,-0.34324,-76.717,71.478,0.30817,0.21633,-0.9407599999999999,Sweden,First North,YIELD,-17.435,2021-11-18,YIELD.ST,,,-15.479,4.977,5.641,,2022-01-28,Q3-2021,Financials,-1.0732952796664708,0.3332197630265889,-0.04891537444803429,-0.9053026538668437,0.48581308101361476,0.4173212991183172,0.4952120820540446
367,197,SCA B,Forest & Wood Products,226.584,109.46,0.159,17018.0,118233.0,0.06909,113948.203,25.108,0.07346,1041.0,83055.0,0.177,0.01788,0.141,Sweden,Large Cap,SCA B,15.942,2022-01-28,SCA-B.ST,0.141,0.020030000000000003,18.677,6.054,1.372,0.12961,2022-01-28,Q4-2021,Materials,0.01253386310276323,0.1439361261238402,0.021780187435262333,0.7927659245578839,0.23886217873732188,0.23105691942213694,0.25180032208896524
368,380,Scandi Standard,Food Processing,16.437,14.548,1.524,3970.0,6599.0,0.06278,2589.591,32.58,0.06115,178.0,1917.0,-0.08518,-0.30864,-0.42857,Sweden,Mid Cap,SCST,17.994,2021-11-12,SCST.ST,-0.42857,0.03189,21.796,0.257,1.351,-0.01493,2022-01-28,Q3-2021,Food and Beverage,0.09285341679707877,0.6016063039854523,-0.09708617086023719,-2.8241869304487452,0.2680101749224117,0.22355565681012363,0.31506747807926466
369,922,Scandic Hotels,Hotels,62.49,6.802,0.184,7094.0,41932.0,-0.030910000000000003,7420.811,45.1,-2.08883,1091.0,1007.0,-0.02757,0.09759999999999999,0.22785,Sweden,Mid Cap,SHOT,-9.952,2021-10-28,SHOT.ST,0.22785,,-3.393,0.961,7.369,0.08615,2022-01-28,Q3-2021,Consumer Durables,1.083416087388282,0.16917867022798816,0.10028541996637452,2.5141353109179643,0.4167336749331239,0.39793844521795385,0.3655853573995187
370,419,Scandinavian Enviro,Energy & Recycling,2.311,-19.529,0.049,-15.96,141.366,-0.50291,1045.333,48.73,-0.4083,-53.526,129.04,-0.09339,-0.22036999999999998,-0.3182,Sweden,First North,SES,-19.441,2021-11-18,SES.ST,-0.3182,,-17.552,150.105,8.101,-0.18159,2022-01-28,Q3-2021,Industrials,-0.41480161190328585,-0.11289843385255294,-0.00595067915124059,-0.08432550892045088,0.4874785387803793,0.4256651865187925,0.6467660378469915
371,1759,Scandion Oncology,Biotechnology,1.895,-8.776,,-42.028,185.249,-26.14358,551.454,69.646,-0.35061,-62.836,170.532,0.22396999999999997,0.05147,-0.04931,Sweden,First North,SCOL,-5.395,2021-11-18,SCOL.ST,-0.04931,,-9.223,,3.234,10.42576,2022-01-28,Q3-2021,Health Care,-0.3684704337015926,-0.2268730195574605,0.10561911846901972,1.5372715153808503,0.5765887257986417,0.48139527377879987,0.6296969668352713
372,1438,Sdiptech,Installation,38.158,-18.665,0.522,1518.2,4927.8,0.09212,13843.52,59.96,0.09645,-741.7,2467.4,-0.10766,-0.10012,0.397,Sweden,Large Cap,SDIP B,43.115,2021-10-26,SDIP.ST,0.397,,53.344,5.378,5.611,0.42314999999999997,2022-01-28,Q3-2021,Industrials,-0.3005998216746373,0.30808880230528835,-1.9563164613323192e-05,-0.0004130845878282919,0.5996,0.3709897004338871,0.43405
