,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
204,204,1456,ISR Holding,Biotechnology,2.408,-6.637,,-56.291,56.968,,447.523,81.217,-2.04009,-67.426,38.535,0.2543499999999999,-0.34759,0.69542,Sweden,First North,ISR,-5.009,2022-02-23,ISR.ST,0.0,-5.032,,11.613,0.41003,2022-05-24,Q4-2021,Health Care,-1.7497340080446349,-0.988116135374245,-0.058780741191864,-0.7435582500700773,1.0045291690801397,0.839906815892856,0.7245355582886452,1.0246695050851813,11.962618628045822,-3.3600171630705984,-0.2713482683738223
205,205,114,ITAB Shop Concept,Construction Tools,0.595,-5.501,1.031,1710.0,6297.0,0.05696,2359.842,50.479,0.03469,-429.0,2745.0,-0.07679,-0.1803,-0.40602,Sweden,Mid Cap,ITAB,17.153,2022-05-10,ITAB.ST,0.0,23.599,0.363,0.86,0.00447,2022-05-24,Q1-2022,Industrials,-0.1562841530054644,0.2715578847070033,-0.069202246052743,-1.2694511389057614,0.4279676036530673,0.3842752005877066,0.4996246347394013,0.8039147545828235,-0.5214862177510923,4.889994887133828,-0.1985185411241319
206,206,116,JM,Homebuilding,79.076,5.761,0.866,2875.0,17457.0,0.2702799999999999,14079.13,35.352,0.20721,2444.0,8904.0,-0.2739399999999999,-0.48884,-0.35206,Sweden,Large Cap,JM,5.542,2022-04-29,JM.ST,0.06547,7.651,0.931,1.581,0.07786,2022-05-24,Q1-2022,Industrials,0.2744833782569632,0.1646903820816864,-0.012206665867987,-0.2990678823526985,0.3003200190044178,0.2956592341091602,0.3740820972351371,1.0911918936069134,-18.87036108298642,-18.74904395973896,-0.3167123495018206
207,207,1852,John Mattson,Real Estate,3.415,-1.082,0.027,296.8,17615.0,0.01909,4926.61,34.967,0.25871,-4554.0,5596.8,-0.13333,-0.3627499999999999,-0.03988,Sweden,Mid Cap,JOMA,60.457,2022-05-05,JOMA.ST,0.0,3.241,10.249,0.88,1.12382,2022-05-24,Q1-2022,Financials,-0.8136792452830188,0.0168492761850695,-0.0314316456759315,-0.8094083414820873,0.3143240800328516,0.2944937334194846,0.3559090959286231,0.6301663639031195,1.11099799921437,-13.553765555801403,-0.2424242693699027
208,208,1853,K2A,Real Estate,3.663,-0.974,0.027,195.5,10957.7,0.01572,2279.42,55.837,0.25081,-2339.1,3137.9,-0.47896,-0.65699,-0.56811,Sweden,Mid Cap,K2A B,65.411,2022-04-29,K2A-B.ST,0.00577,2.836,7.672,0.726,0.5257000000000001,2022-05-24,Q1-2022,Financials,-0.745434844960005,0.0178413353167179,0.0510844449882647,0.8923169903438387,0.4744896369364365,0.4398796806796713,0.5246976994203031,0.714454548302994,-32.757049161581484,-30.402553820388547,-0.5830185512935506
209,209,117,Kabe,Auto & Equipment,1.358,5.853,1.509,502.0,2277.0,0.27829,2025.0,58.044,0.1614999999999999,346.0,1356.0,0.09223,-0.11765,-0.0030499999999999,Sweden,Small Cap,KABE B,5.806,2022-05-12,KABE-B.ST,0.03111,9.247,0.589,1.493,0.0406799999999999,2022-05-24,Q1-2022,Consumer Durables,0.2551622418879056,0.2204655248133509,0.0288991381824952,0.4758346978429375,0.4294431541063562,0.377094540220768,0.5566323298431927,0.6948530722925378,1.2473416732943674,3.619717519557975,0.0704971405647632
210,210,408,Kambi,Gambling & Casinos,32.529,33.187,0.763,1101.416,2149.831,0.50817,5867.753,52.673,0.25591,176.81,1510.487,-0.10067,-0.3026,-0.55141,Sweden,First North,KAMBI,10.995,2022-04-27,KAMBI.ST,0.0,15.033,3.578,3.885,0.34207,2022-05-24,Q1-2022,Consumer Durables,0.1170549630682025,0.5123267828959578,-0.0650649314191231,-1.0164541011116777,0.6027478700995585,0.4920134893180872,0.5866767087449297,1.0759199116172238,-15.912262688191642,4.329591412613029,-0.0667655796426922
211,211,1796,Karnov,Business Consultants,12.719,32.913,0.201,760.49,4481.581,0.03837,6961.769,27.618,0.03175,211.518,2179.873,0.20149,0.22901,0.25536,Sweden,Mid Cap,KAR,70.13,2022-05-10,KAR.ST,0.0,99.907,7.74,3.194,0.15563,2022-05-24,Q1-2022,Industrials,0.0970322583012863,0.1696923474104339,0.0189521344090926,0.6892906887762832,0.3359358524921128,0.2786556606605461,0.251996993212923,0.4592783143985,9.327786659481209,7.580968372255467,0.1936684834902107
212,212,119,Karo Pharma,Biotechnology,9.953,-52.372,0.235,1706.3,12593.4,0.01753,15192.978,23.658,-0.00301,-290.1,5814.3,-0.04138,-0.02456,0.02206,Sweden,First North,KARO,100.239,2022-02-25,KARO.ST,0.0,-710.089,5.13,2.613,0.0060599999999999,2022-05-24,Q4-2021,Health Care,-0.0498942263041122,0.1354916067146283,-0.0184240552182478,-0.4416596851519875,0.2827731343586023,0.2446921038638446,0.3823288857193853,0.4110462068361014,-1.5791213445348151,0.2195181976488293,0.0183486238532109
213,213,243,Karolinska Development,Holding Companies,1.739,-9.282,0.002,-30.392,1310.668,0.14486,696.801,65.634,0.12803,-75.067,1300.332,-0.22754,-0.58387,0.61452,Sweden,Small Cap,KDEV,3.055,2022-04-29,KDEV.ST,0.0,3.401,326.983,0.536,0.51737,2022-05-24,Q1-2022,Financials,-0.0577291030290725,-0.0231881758004315,-0.0347141779863838,-0.4787870273836325,1.2525841726347522,0.9215334149175782,0.6645140290457754,0.4187850438465005,9.431771646927192,-4.4484533403580775,-0.3572311852674413
214,214,1887,K-Fast Holding,Real Estate,4.371,-4.069,0.103,284.5,12758.2,0.02168,8036.153,55.796,0.26389,-1975.1,4564.0,-0.37435,-0.56756,-0.3265599999999999,Sweden,Large Cap,KFAST B,62.194,2022-05-05,KFAST-B.ST,0.0,6.672,6.095,1.761,0.42668,2022-05-24,Q1-2022,Financials,-0.4327563540753724,0.0222993839256321,-0.0638938857526071,-1.1555811386185686,0.5967953798870064,0.5656101046610051,0.5067555329887207,1.0238537869456452,-10.416925747900072,-21.71608378993059,-0.4934976255403501
215,215,231,Kindred,Gambling & Casinos,76.678,41.156,0.944,7884.72,14243.29,0.5018,22391.26,47.45,0.4084899999999999,544.055,6530.99,-0.04043,-0.0720099999999999,-0.29807,Sweden,Large Cap,KIND SDB,6.946,2022-04-28,KIND-SDB.ST,0.04035,8.28,1.666,3.428,0.16649,2022-05-24,Q1-2022,Consumer Durables,0.0833036032821976,0.553574349746442,0.0187383095719437,0.3522093259314038,0.4392839173091741,0.3822343410200224,0.4876061801138787,1.0032178915918508,-10.040787023688535,-5.4290885300362834,-0.2022066922728856
216,216,120,Kinnevik B,Holding Companies,206.528,43.821,,,72422.0,0.05562,49780.769,48.358,0.06136,1136.0,67859.0,-0.23494,-0.4534499999999999,-0.33826,Sweden,Large Cap,KINV B,11.398,2022-04-21,KINV-B.ST,0.0,11.943,,0.734,-0.40539,2022-05-24,Q1-2022,Financials,0.0167405944679408,,-0.1596021133761791,-2.9848031180138177,0.4004643644344986,0.3872817777087169,0.4900750479703024,1.4258258407141446,-3.942766186994725,-11.377782290128206,-0.4102479540612087
217,217,2249,Kjell Group,Retailers,3.507,-6.0,1.046,1078.367,2427.771,0.08188,1471.932,33.758,0.07765,-245.326,908.346,-0.05689,-0.25824,-0.96105,Sweden,First North,KJELL,17.299,2022-05-18,KJELL.ST,0.0,20.869,0.578,1.62,,2022-05-24,Q1-2022,Consumer Durables,-0.2700799034729056,0.4441798670467684,-0.0373238505172165,-0.9283654108410924,0.3292892795071646,0.3097345246913821,0.3684742413386578,,-2.583931255312732,-1.5062247752206637,-0.262499988079071
218,218,2322,KlaraBo,Real Estate,2.597,-10.35,0.046,223.6,8870.3,0.02328,3477.623,51.282,0.1737,-336.0,4395.5,-0.27527,-0.8775700000000001,-0.96105,Sweden,Mid Cap,KLARA B,40.415,2022-05-03,KLARA-B.ST,0.0,4.555,8.551,0.791,,2022-05-24,Q1-2022,Financials,-0.0764418154931179,0.0252077156353223,-0.0216692073603096,-0.3506028479946839,0.503556549568609,0.4742450840457622,0.5664573664833369,,-2.583931255312732,-1.5062247752206637,-0.8511193983909094
219,219,122,KnowIT,IT Consulting,8.463,-93.603,0.843,,6522.0,0.11047,8705.098,33.928,0.08385,-93.0,4052.9,0.06936,-0.13813,0.08409,Sweden,Mid Cap,KNOW,20.769,2022-05-02,KNOW.ST,0.02204,25.55,1.584,2.148,1.01713,2022-05-24,Q1-2022,Technology,-0.0229465321128081,,0.0279195008465434,0.7403641088130578,0.3483521615608991,0.3236202654396481,0.3456224429889939,0.954508210471244,5.992143919328789,-0.9941249305821476,-0.0749401506238316
220,220,124,Lagercrantz,Electrical Components,17.216,-114.525,0.883,2093.0,6207.0,0.1852,19583.784,45.521,0.2567299999999999,-171.0,2228.0,0.02567,-0.2246099999999999,0.01451,Sweden,Large Cap,LAGR B,27.573,2022-05-17,LAGR-B.ST,0.0138399999999999,33.408,3.572,8.79,0.34642,2022-05-24,Q4-2022,Industrials,-0.0767504488330341,0.3371999355566296,0.0587070135569587,1.2711866658875803,0.3977040113395395,0.3678046796686478,0.4232727429715727,1.1819298157886196,-0.8341709236595256,-0.8493434886978104,-0.0487309954493179
221,221,126,Latour,Holding Companies,72.382,-491.553,0.397,7439.0,49361.0,0.0630199999999999,145499.616,37.557,0.12928,-296.0,33177.0,-0.10296,-0.3222099999999999,-0.159,Sweden,Large Cap,LATO B,57.661,2022-04-29,LATO-B.ST,0.01451,33.842,7.424,4.386,0.16075,2022-05-24,Q1-2022,Financials,-0.0089218434457606,0.1507060229736026,-0.0523321306569422,-1.2984584280086395,0.3173742311086039,0.3082349175018385,0.3693856419901663,1.080577864468129,-12.135737759619024,-5.66411703730406,-0.1259276479634936
222,222,1661,Leading Edge Materials,Mining,0.671,-28.538,,-0.901,199.279,-0.08563,424.606,78.721,-0.12535,-14.879,128.926,-0.22222,-0.0476199999999999,0.56863,Sweden,First North,LEMSE,-25.958,2022-01-26,LEMSE.ST,0.0,-25.478,,3.293,0.05651,2022-05-24,Q4-2021,Materials,-0.1154072879015869,-0.0045212992839185,0.1710414330125229,2.0218112234952343,0.7777596519649973,0.7483040961438282,0.7753545975460381,0.5497802269183955,3.948962591250572,6.6929660431063205,0.6017192370523512
223,223,1004,LeoVegas,Gambling & Casinos,53.707,24.6,1.442,2704.615,2807.275,0.33298,6089.015,74.293,0.02394,247.519,728.313,0.8362999999999999,0.7955599999999999,0.4553,Sweden,Mid Cap,LEO,24.508,2022-05-02,LEO.ST,0.02805,320.836,1.504,8.36,0.0586099999999999,2022-05-24,Q1-2022,Consumer Durables,0.3398525084681998,0.9634307290878164,0.4528876311798094,11.77151601764196,0.4645175701163526,0.3205296441392336,0.3526125009013847,0.7263276548191131,11.549656869655722,17.650501739818754,0.8957216008790927
224,224,440,Lifco,Holding Companies,103.908,-1731.471,0.698,7727.0,26712.0,0.20515,86573.57,45.235,0.21935,-50.0,11470.0,-0.07744,-0.25605,0.04267,Sweden,Large Cap,LIFCO B,28.45,2022-04-29,LIFCO-B.ST,0.00787,34.409,4.646,7.548,0.27327,2022-05-24,Q1-2022,Financials,-0.004359197907585,0.2892707397424378,-0.0192714672461262,-0.4004799770471042,0.3689749661393678,0.342582651791971,0.4410355696651895,1.2232789609639665,1.289537428962817,-7.645280892262529,-0.1585824403973519
225,225,1772,Lime Technologies,IT Services,3.214,-38.172,0.639,193.385,670.564,0.19325,3650.168,63.411,0.34652,-95.624,161.074,0.10273,-0.17029,-0.17725,Sweden,Mid Cap,LIME,51.634,2022-04-26,LIME.ST,0.00946,65.411,8.518,22.661,0.7919499999999999,2022-05-24,Q1-2022,Technology,-0.5936650235295577,0.2883915629231512,-0.0201241245190541,-0.2992272620259323,0.5604482058014322,0.515129257239555,0.6163898521738972,1.049852386478675,-7.825989470884923,-5.131536672172951,-0.1541079560378118
226,226,2150,Linc,Holding Companies,1.341,-12.924,,,3277.09,-0.18611,3564.36,40.694,-0.12393,-275.787,3228.451,-0.21009,-0.30562,-0.96105,Sweden,Mid Cap,LINC,-5.996,2022-04-20,LINC.ST,0.0,-8.909,,1.104,0.20967,2022-05-24,Q1-2022,Financials,-0.0854239386008955,,0.0560591384496351,1.1684206664816488,0.470118502873995,0.395257216187229,0.4397307454566448,,-2.583931255312732,-1.5062247752206637,-0.3084269748644882
