,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m
347,347,419,Scandinavian Enviro,Energy & Recycling,2.607,-19.028,0.031,-19.43,243.036,-0.54755,1060.435,47.861,-0.25107,-55.731,227.163,-0.10278,-0.18434,-0.34615,Sweden,First North,SES,-16.484,2022-02-24,SES.ST,,-17.0,123.594,4.668,0.55161,2022-03-30,Q4-2021,Industrials,-0.2453348476644524,-0.079947003736072,-0.0152755080924292,-0.3929108144178281,0.5016446125800496,0.4491624118329932,0.3563209234451217,2.053273527659789,-5.364254368035772,-1.9556205976492973
348,348,1759,Scandion Oncology,Biotechnology,1.534,-7.18,,-46.216,164.456,,472.384,74.589,-0.49085,-65.791,149.504,0.1873999999999999,-0.07314,-0.22016,Sweden,First North,SCOL,-4.085,2022-02-17,SCOL.ST,,-6.437,415.028,3.16,-0.38305,2022-03-30,Q4-2021,Health Care,-0.4400618043664384,-0.2810234956462519,-0.023096642595093,-0.3052247286824072,0.598366998543849,0.5099515107071797,0.6935356348632294,-0.0087894307842709,-4.284619842871658,-1.051125540901282
349,349,1438,Sdiptech,Installation,37.248,-19.699,0.478,1589.4,5691.9,0.0829299999999999,13756.105,61.826,0.09723,-698.3,2529.1,-0.2184499999999999,-0.1369999999999999,0.10994,Sweden,Large Cap,SDIP B,43.588,2022-02-10,SDIP.ST,,51.093,5.017,5.439,0.4773799999999999,2022-03-30,Q4-2021,Industrials,-0.2761061247083943,0.2792389184630791,-0.0005587717618966,-0.0105188920638174,0.61826,0.3946792755996969,0.48686,,-0.0409922743251961,-0.1521971008184931
350,350,1552,Seafire,Holding Companies,1.921,-2.947,0.507,169.581,830.866,0.03301,1039.022,50.515,-0.06127,-352.574,219.109,0.07879,0.2669,0.27599,Sweden,First North,SEAF,77.632,2022-02-24,SEAF.ST,,-37.592,2.424,4.742,2.38495,2022-03-30,Q4-2021,Financials,-1.6091260514173311,0.2041015037322504,-0.0169715827774715,-0.2799411331234173,0.5036093810647131,0.435455690107606,0.5556422657379503,,-0.0409922743251961,-0.1521971008184931
351,351,199,SEB A,Banks,503.392,1.771,0.017,39242.0,3304230.0,0.01077,229290.974,34.094,0.13157,129445.0,193228.0,-0.16965,-0.15658,-0.03769,Sweden,Large Cap,SEB A,7.429,2022-01-27,SEB-A.ST,0.05742,8.895,4.198,1.187,0.08676,2022-03-30,Q4-2021,Financials,0.6699080878547623,0.0118762919046192,-0.0152199813084499,-0.5872811240656769,0.2542705056470121,0.2283796142306811,0.2375241211191555,0.9979009631115714,0.3621851653708774,-1.17723115908793
352,352,200,Sectra,Medical Equipment,36.936,115.597,0.999,1667.692,1828.234,0.69794,28440.118,47.968,0.3492499999999999,246.028,959.025,-0.2702299999999999,-0.16989,0.3303199999999999,Sweden,Large Cap,SECT B,69.142,2022-03-09,SECT-B.ST,0.00616,83.994,15.172,29.655,0.24183,2022-03-30,Q3-2022,Health Care,0.2565397148145251,0.9121873895792332,-0.17228941469446,-3.3784079206993374,0.431521162171191,0.3966551512754146,0.4673972491241175,0.6391002781526849,0.1951928281716309,-2.1059999532243885
353,353,201,Securitas,Security,156.403,13.719,1.681,19845.0,63363.0,0.1409099999999999,40485.043,27.198,0.15062,2951.0,20792.0,-0.11031,-0.20245,-0.24891,Sweden,Large Cap,SECU B,11.722,2022-02-08,SECU-B.ST,0.03968,12.911,0.376,1.947,0.07164,2022-03-30,Q4-2021,Industrials,0.1419295883031935,0.313195397945173,0.0383035502291346,1.4975460607276243,0.2362981044795468,0.2132428742857046,0.2344220627514684,1.0317797514033498,-1.4230674368970917,-1.1692393833681878
354,354,1487,Sedana Medical,Medical Equipment,13.957,-42.2,0.136,106.706,1167.58,-0.22782,6392.336,55.713,-0.0526299999999999,-151.476,1101.456,-0.3436999999999999,-0.36726,-0.19563,Sweden,First North,SEDANA,-90.499,2022-02-17,SEDANA.ST,,-102.338,40.165,5.804,0.94565,2022-03-30,Q4-2021,Health Care,-0.1375234235412036,0.0913907398208259,-0.0837074513842528,-1.5967232224594987,0.537240812907763,0.4671001147039774,0.4804786788399136,-0.0695143179983952,-3.963598232222031,-4.352248390662124
355,355,202,Semcon,Business Consultants,1.84,15.518,1.263,1448.8,1355.2,0.25995,2133.711,43.392,0.16673,137.5,796.5,-0.07098,-0.04693,0.178,Sweden,Small Cap,SEMC,10.964,2022-02-09,SEMC.ST,0.03396,16.067,1.247,2.679,0.16416,2022-03-30,Q4-2021,Industrials,0.17263025737602,1.0690672963400236,0.0039208470738818,0.0912745458021114,0.4042332058835067,0.3657881572535053,0.3937040353696078,1.2103505966428587,0.7300026751994108,-1.6209455367795798
356,356,203,Sensys Gatso,Security & Surveillance,2.211,-27.421,0.635,205.935,797.494,0.0815,899.653,42.232,0.05799,-32.809,561.803,0.02092,-0.04314,-0.26506,Sweden,Small Cap,SENS,19.921,2022-02-23,SENS.ST,,27.649,1.775,1.601,0.0431,2022-03-30,Q4-2021,Technology,-0.0583994745489077,0.2582276481076974,0.1025204292534396,2.712414353492058,0.4074291018003274,0.3616393325540268,0.3464128751039864,0.6886862184449527,-1.0131548696586998,1.8143582490417127
