,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
39,1557,Awardit,Advertising,3.89,-55.06,0.563,127.136,688.935,0.07446,1858.928,53.871,0.05717,-33.762,282.245,-0.17712,0.14359,1.15459,Sweden,First North,AWRD,58.559,2021-11-12,AWRD.ST,0.01004,104.724,4.714,6.586,1.5041,Q3-2021,Consumer Durables,-0.1196194795301954,0.18453990579662813,0.12933516656693844,2.1524117491382,0.4739575111542867,0.42567394991255014,0.5507200850859717
40,24,Axfood,Food Retail,73.297,66.889,2.439,8946.0,23731.0,0.24721,50033.246,18.376,0.41537999999999997,748.0,4952.0,-0.02335,0.03833,0.20404,Sweden,Large Cap,AXFO,21.329,2022-02-03,AXFO.ST,0.03251,23.271,0.864,10.104,0.26135,Q4-2021,Food and Beverage,0.15105008077544427,0.37697526442206397,0.06946472136087967,3.55390236178141,0.15925200332698916,0.14587745410876515,0.179142425064083
41,1769,Azelio,Renewable Energy,13.793,-3.36,0.001,105.261,1280.351,-0.58664,937.445,99.791,-0.27803,-278.982,1100.942,-0.61549,-0.76591,-0.86076,Sweden,First North,AZELIO,-1.121,2021-11-19,AZELIO.ST,,-3.04,8.434,0.851,0.33486,Q3-2021,Utilities,-0.25340299488983076,0.08221261201030029,-0.07748096690065343,-0.7828245643127415,0.9001272011085287,0.7135102296308318,0.9071314619574548
42,1313,B3 Consulting,IT Consulting,1.455,11.269,1.647,283.5,559.7,0.33860999999999997,792.222,49.98,0.23279,70.3,194.6,0.32303,0.38938,1.2164700000000002,Sweden,Small Cap,B3,11.934,2022-02-18,B3.ST,0.037149999999999996,17.488,0.858,4.071,0.09273999999999999,Q4-2021,Technology,0.36125385405960947,0.5065213507236019,0.23336689769755847,4.687968921207882,0.4296996408270145,0.3951633806164337,0.4562408545663033
43,377,Bactiguard,Medical Equipment,1.253,-821.132,0.211,78.795,849.29,-0.09515000000000001,4240.324,34.082,-0.10855000000000001,-5.164,541.45,-0.23899,-0.30058,-0.16552,Sweden,Mid Cap,BACTI B,-78.814,2022-02-08,BACTI-B.ST,,-72.024,23.683,7.831,0.25780000000000003,Q4-2021,Health Care,-0.00953735340289962,0.09277749649707404,-0.043413311656821274,-1.1774661599123788,0.35480312335145137,0.33165124791504397,0.3379201774272591
44,1517,Balco Group,Construction Supplies,3.039,-64.289,0.9,296.3,1245.6,0.14227,2545.826,39.546,0.13208,-39.6,692.0,-0.11836,-0.00853,0.47649,Sweden,Mid Cap,BALCO,22.397,2022-02-17,BALCO.ST,0.01721,27.854,2.272,3.679,0.01823,Q4-2021,Industrials,-0.05722543352601156,0.2378773281952473,0.07748685624487017,1.7189983905340678,0.35815217204959665,0.32759264689823697,0.4131352141591687
45,1450,Bambuser,Online Services,8.939,-6.308,0.159,-35.796,869.472,-0.89554,1639.702,66.671,-0.30036999999999997,-259.938,769.494,-0.50824,-0.45499,-0.67235,Sweden,First North,BUSER,-4.751,2022-02-11,BUSER.ST,,-7.094,9.832,2.131,1.28789,Q4-2021,Technology,-0.33780380353842915,-0.04116981340399691,-0.18277679481603681,-3.2985159779180013,0.6741756789019542,0.6219192172367842,0.5078577779420553
46,27,BE Group,Industrial Components,6.022,227.675,1.735,1102.0,3105.0,0.29827000000000004,1593.725,53.613,0.35031999999999996,7.0,1413.0,0.0040999999999999995,0.51235,1.9589400000000001,Sweden,Small Cap,BEGR,2.954,2022-01-27,BEGR.ST,0.09795999999999999,3.213,0.296,1.128,0.28412,Q4-2021,Industrials,0.004953998584571833,0.3549114331723027,0.1209975820471807,2.281945917477926,0.5277671089705372,0.45465360475296457,0.4859717089620281
47,29,Beijer Alma,Industrial Components,16.181,-27.279,0.849,1744.9,6344.1,0.19768,13257.64,46.679,0.19909,-486.0,2854.0,-0.09278,0.030440000000000002,0.44927999999999996,Sweden,Mid Cap,BEIA B,18.82,2022-02-16,BEIA-B.ST,0.01591,23.333,2.46,4.645,0.3543,Q4-2021,Industrials,-0.1702873160476524,0.27504295329518763,0.026455229203120045,0.5284983890054739,0.3833158651486904,0.3523997595712502,0.4587831973483962
48,30,Beijer Electronics,Computer Hardware,1.397,-17.834,0.757,,2139.075,0.05316,1664.74,60.715,0.04875,-93.348,729.196,-0.30218,-0.11128,0.39903,Sweden,Mid Cap,BELE,36.271,2022-01-27,BELE.ST,0.0087,45.989,1.02,2.283,0.13544,Q4-2021,Technology,-0.12801496442657392,,-0.03499191623202702,-0.6499188964937107,0.5045938053639797,0.47528205361577874,0.49345573950816657
