,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
93,984,Catena Media,Gambling & Casinos,36.139,13.628,0.372,1272.499,3863.125,0.01161,3226.985,58.186,-0.03137,236.795,2410.928,-0.22018000000000001,-0.1257,0.08671,Sweden,Mid Cap,CTM,105.512,2022-02-23,CTM.ST,0.08671,,-42.007,2.247,1.338,0.07428,2022-02-25,Q4-2021,Consumer Durables,0.09821736692261238,0.32939627891926876,-0.08469215106935468,-1.4848575804174549,0.5246483654815768,0.4777326152232635,0.5227547721241249
94,2023,CDON,Retailers,3.642,-10.235,1.423,226.9,380.9,-15.02439,1620.24,80.702,-0.31347,-158.3,199.7,-0.45792,-0.47314999999999996,-0.68717,Sweden,First North,CDON,-23.009,2022-02-16,CDON.ST,-0.68717,,-24.037,2.988,8.113,0.28813,2022-02-25,Q4-2021,Consumer Durables,-0.7926890335503256,0.5956944079810974,-0.21606809692487938,-4.214828490966313,0.7583287440624737,0.6441940880249968,0.46984042721809954
95,387,Cell Impact,Industrial Machinery,11.166,-9.36,0.343,34.9,238.7,-0.59954,1314.11,85.119,-0.56031,-140.4,142.6,-0.5228,-0.60984,-0.61824,Sweden,First North,CI B,-16.645,2022-02-18,CI-B.ST,-0.61824,,-12.793,16.065,9.215,-0.01729,2022-02-25,Q4-2021,Industrials,-0.9845722300140253,0.14620863007959783,-0.14782309990167564,-1.581750741300192,0.7811127383669993,0.7313440162232254,0.8565326091841998
96,49,CellaVision,Medical Equipment,7.478,93.98,0.685,392.303,825.212,0.29037,7084.044,54.163,0.23071000000000003,75.378,543.28,-0.17864999999999998,-0.34436999999999995,0.01701,Sweden,Mid Cap,CEVI,43.571,2022-02-04,CEVI.ST,0.0102,0.006730000000000001,56.52,12.526,13.039,0.2353,2022-02-25,Q4-2021,Health Care,0.1387461345898984,0.47539662535203075,0.010678211510967262,0.236795723269797,0.4364205539494321,0.38429434466810175,0.4132989554038765
97,2140,checkin.com,IT Services,1.599,-22.251,0.17,50.419,228.481,-0.05605,957.115,57.127,-0.03744,-43.014,181.722,-0.42712000000000006,-0.47743,-0.95011,Sweden,First North,CHECK,-134.106,2022-02-16,CHECK.ST,,,-129.601,24.63,5.267,7.2481100000000005,2022-02-25,Q4-2021,Technology,-0.2367022154719847,0.22067042773797382,0.03589738258582009,0.5888862432504641,1.0732464612711528,0.7898949635933107,0.5586901539499685
98,436,Christian Berner Tech,Industrial Components,0.658,-63.177,1.22,297.647,609.282,0.16888000000000003,476.479,45.222,0.12166,-7.542,186.827,-0.24178999999999998,-0.24852,-0.16186,Sweden,Small Cap,CBTT B,21.772,2022-02-25,CBTT-B.ST,-0.1859,0.029529999999999997,20.964,0.641,2.55,0.18742,2022-02-25,Q4-2021,Industrials,-0.04036889742917244,0.488520914781661,-0.029507603263708937,-0.5974727691969791,0.42111797461455475,0.3873467764539731,0.4526426391429117
99,1676,Cibus Nordic,Real Estate,44.414,-7.84,0.052,786.158,16178.35,0.04699,10208.0,36.915,0.08807000000000001,-1302.064,6007.599,-0.07200000000000001,0.07011,0.47861,Sweden,Mid Cap,CIBUS,26.522,2022-02-24,CIBUS.ST,0.41636,0.043949999999999996,17.539,12.227,1.699,0.18638000000000002,2022-02-25,Q4-2021,Financials,-0.2167361703069729,0.04859321253403468,-0.00704161787475488,-0.18133428267628493,0.29303404968416374,0.23059704240499557,0.35590343370011246
100,2077,Cint Group,IT Services,52.119,-3.591,0.096,715.829,14604.08,-0.0025,18814.391,62.422,-0.0028000000000000004,-5239.821,11548.13,-0.35353,-0.23845,0.03929,Sweden,Large Cap,CINT,-605.693,2022-02-22,CINT.ST,0.03929,,-375.276,13.462,1.629,6.2692499999999995,2022-02-25,Q4-2021,Technology,-0.45373761812518565,0.049015686027466296,-0.024412862942101543,-0.41362220296066615,0.48381094922519635,0.43301087734361304,0.5409467459047475
101,51,Clas Ohlson,Retailers,33.495,6.161,1.305,3426.2,6395.4,0.21384,6809.28,43.274,0.2225,1105.2,2029.7,-0.06739,0.05756,0.44993,Sweden,Mid Cap,CLAS B,12.54,2021-12-08,CLAS-B.ST,0.36759000000000003,0.06021,14.56,0.816,3.355,0.11706,2022-02-25,Q2-2022,Consumer Durables,0.544513967581416,0.5357288050786503,0.08018086823312842,3.1518075744440117,0.3488047203865845,0.27768036269886864,0.23315820479961105
102,1542,Climeon,Renewable Energy,4.817,-3.638,0.053,4.126,545.788,-0.58357,614.62,120.052,-0.30437000000000003,-168.936,352.362,-0.07843,-0.36564,-0.7617499999999999,Sweden,First North,CLIME B,-3.078,2022-02-09,CLIME-B.ST,-0.7617499999999999,,-5.369,21.367,1.744,-0.14227,2022-02-25,Q4-2021,Utilities,-0.4794387590035248,0.007559711829501565,-0.16189127461656927,-1.2381507153205111,0.8911975489655479,0.7350386690227273,1.1983662588140844
103,52,Cloetta,Food Processing,18.685,10.177,0.633,2148.0,9549.0,0.07684,6788.319,19.527,0.10454000000000001,667.0,4515.0,-0.11044000000000001,-0.20163,0.046079999999999996,Sweden,Mid Cap,CLA B,14.986,2022-01-28,CLA-B.ST,0.0034100000000000003,0.042519999999999995,14.283,1.123,1.504,0.03154,2022-02-25,Q4-2021,Food and Beverage,0.1477297895902547,0.2249450204209865,0.017471223615682208,0.8475855624554902,0.17413194108791294,0.16563365889925488,0.18892064293879052
104,2097,CoinShares,Internet Transactions,3.515,-3.502,0.02,590.06,48293.32,-11.46209,5484.003,68.293,-10.803379999999999,-1565.993,2433.299,-0.09459,-0.12418,-0.95011,Sweden,First North,CS,-0.203,2022-02-22,CS.ST,,,-0.204,5.598,2.254,1.03309,2022-02-25,Q4-2021,Technology,-0.6435678476011374,0.012218252959208436,0.03920418171608131,0.5617428112216282,0.8001818907008261,0.7631047280847335,0.6396383778620904
